Ethnocultural_Key,Ethnoculture
ETH881,Finnish
ETH882,Icelandic
ETH883,Norwegian
ETH884,Swedish
ETH885,"Northern European origins, n.i.e."
ETH886,Eastern European origins
ETH887,Bulgarian
ETH888,Byelorussian
ETH889,Czech
ETH890,"Czechoslovakian, n.o.s."
ETH891,Estonian
ETH892,Hungarian
ETH893,Latvian
ETH894,Lithuanian
ETH895,Moldovan
ETH896,Polish
ETH897,Romanian
ETH898,Russian
ETH899,Slovak
ETH900,Ukrainian
ETH901,"Eastern European origins, n.i.e."
ETH902,Southern European origins
ETH903,Albanian
ETH904,Bosnian
ETH905,Catalan
ETH906,Croatian
ETH907,Cypriot
ETH908,Greek
ETH909,Italian
ETH910,Kosovar
ETH911,Macedonian
ETH912,Maltese
ETH913,Montenegrin
ETH914,Portuguese
ETH915,Serbian
ETH916,Sicilian
ETH917,Slovenian
ETH918,Spanish
ETH919,"Yugoslavian, n.o.s."
ETH920,"Southern European origins, n.i.e."
ETH921,Other European origins
ETH922,Basque
ETH923,Jewish
ETH924,Roma (Gypsy)
ETH925,"Slavic, n.o.s."
ETH926,"Other European origins, n.i.e."
ETH927,Caribbean origins
ETH928,Antiguan
ETH929,Bahamian
ETH930,Barbadian
ETH931,Bermudan
ETH932,Carib
ETH933,Cuban
ETH934,Dominican
ETH935,Grenadian
ETH936,Guadeloupean
ETH937,Haitian
ETH938,Jamaican
ETH939,Kittitian/Nevisian
ETH940,Martinican
ETH941,Montserratan
ETH942,Puerto Rican
ETH943,St. Lucian
ETH944,Trinidadian/Tobagonian
ETH945,Vincentian/Grenadinian
ETH946,"West Indian, n.o.s."
ETH947,"Caribbean origins, n.i.e."
ETH948,"Latin, Central and South American origins"
ETH949,Aboriginal from Central/South America (except Arawak and Maya)
ETH950,Arawak
ETH951,Argentinian
ETH952,Belizean
ETH953,Bolivian
ETH954,Brazilian
ETH955,Chilean
ETH956,Colombian
ETH957,Costa Rican
ETH958,Ecuadorian
ETH959,Guatemalan
ETH960,Guyanese
ETH961,Hispanic
ETH962,Honduran
ETH963,Maya
ETH964,Mexican
ETH965,Nicaraguan
ETH966,Panamanian
ETH967,Paraguayan
ETH968,Peruvian
ETH969,Salvadorean
ETH970,Uruguayan
ETH971,Venezuelan
ETH972,"Latin, Central and South American origins, n.i.e."
ETH973,African origins
ETH974,Central and West African origins
ETH975,Akan
ETH976,Angolan
ETH977,Ashanti
ETH978,Beninese
ETH979,Burkinabe
ETH980,Cameroonian
ETH981,Chadian
ETH982,Congolese
ETH983,Edo
ETH984,Ewe
ETH985,Gabonese
ETH986,Gambian
ETH987,Ghanaian
ETH988,Guinean
ETH989,Ibo
ETH990,Ivorian
ETH991,Liberian
ETH992,Malian
ETH993,Malinké
ETH994,Nigerian
ETH995,Peulh
ETH996,Senegalese
ETH997,Sierra Leonean
ETH998,Togolese
ETH999,Wolof
ETH1000,Yoruba
ETH1001,"Central and West African origins, n.i.e."
ETH1002,North African origins
ETH1003,Algerian
ETH1004,Berber
ETH1005,Coptic
ETH1006,Dinka
ETH1007,Egyptian
ETH1008,Libyan
ETH1009,Maure
ETH1010,Moroccan
ETH1011,Sudanese
ETH1012,Tunisian
ETH1013,"North African origins, n.i.e."
ETH1014,Southern and East African origins
ETH1015,Afrikaner
ETH1016,Amhara
ETH1017,"Bantu, n.o.s."
ETH1018,Burundian
ETH1019,Djiboutian
ETH1020,Eritrean
ETH1021,Ethiopian
ETH1022,Harari
ETH1023,Kenyan
ETH1024,Malagasy
ETH1025,Mauritian
ETH1026,Oromo
ETH1027,Rwandan
ETH1028,Seychellois
ETH1029,Somali
ETH1030,South African
ETH1031,Tanzanian
ETH1032,Tigrian
ETH1033,Ugandan
ETH1034,Zambian
ETH1035,Zimbabwean
ETH1036,Zulu
ETH1037,"Southern and East African origins, n.i.e."
ETH1038,Other African origins
ETH1039,"Black, n.o.s."
ETH1040,"Other African origins, n.i.e."
ETH1041,Asian origins
ETH1042,West Central Asian and Middle Eastern origins
ETH1043,Afghan
ETH1044,"Arab, n.o.s."
ETH1045,Armenian
ETH1046,Assyrian
ETH1047,Azerbaijani
ETH1048,Georgian
ETH1049,Hazara
ETH1050,Iranian
ETH1051,Iraqi
ETH1052,Israeli
ETH1053,Jordanian
ETH1054,Kazakh
ETH1055,Kurd
ETH1056,Kuwaiti
ETH1057,Kyrgyz
ETH1058,Lebanese
ETH1059,Palestinian
ETH1060,Pashtun
ETH1061,Saudi Arabian
ETH1062,Syrian
ETH1063,Tajik
ETH1064,Tatar
ETH1065,Turk
ETH1066,Turkmen
ETH1067,Uighur
ETH1068,Uzbek
ETH1069,Yemeni
ETH1070,"West Central Asian and Middle Eastern origins, n.i.e."
ETH1071,South Asian origins
ETH1072,Bangladeshi
ETH1073,Bengali
ETH1074,Bhutanese
ETH1075,East Indian
ETH1076,Goan
ETH1077,Gujarati
ETH1078,Kashmiri
ETH1079,Nepali
ETH1080,Pakistani
ETH1081,Punjabi
ETH1082,Sinhalese
ETH1083,Sri Lankan
ETH1084,Tamil
ETH1085,"South Asian origins, n.i.e."
ETH1086,East and Southeast Asian origins
ETH1087,Burmese
ETH1088,Cambodian (Khmer)
ETH1089,Chinese
ETH1090,Filipino
ETH1091,Hmong
ETH1092,Indonesian
ETH1093,Japanese
ETH1094,Karen
ETH1095,Korean
ETH1096,Laotian
ETH1097,Malaysian
ETH1098,Mongolian
ETH1099,Singaporean
ETH1100,Taiwanese
ETH1101,Thai
ETH1102,Tibetan
ETH1103,Vietnamese
ETH1104,"East and Southeast Asian origins, n.i.e."
ETH1105,Other Asian origins
ETH1106,"Other Asian origins, n.i.e."
ETH1107,Oceania origins
ETH1108,Australian
ETH1109,New Zealander
ETH1110,Pacific Islands origins
ETH1111,Fijian
