Permit_Key,Ward_ID,Est_Const_Cost,Application_Date_Key,Issued_Date_Key,Completed_Date_Key,Application_to_Issuance_Duration,Avg_App_to_Issuance_Duration_by_Year,Avg_Est_Const_Cost_by_Ward,Avg_Est_Const_Cost_by_Year
324,15,700000,5924,5951,6280,27,104.75,4522577.48037889,3369660.19
325,5,800000,5925,6014,6259,89,104.75,1400922.5020242915,3369660.19
326,24,1500000,5946,5974,6220,28,141.64,23456062.532786883,5089136.37
327,2,630000,5947,5967,6144,20,141.64,2989003.2716499544,5089136.37
328,17,700000,5958,5994,6280,36,141.64,1614143.0049603174,5089136.37
329,3,800000,5980,6028,6219,48,141.64,9246769.549865229,5089136.37
330,17,1600000,5983,6164,6245,181,141.64,1614143.0049603174,5089136.37
331,12,1000000,6058,6087,6252,29,141.64,7658937.101338432,5089136.37
332,17,735000,6088,6101,6245,13,141.64,1614143.0049603174,5089136.37
333,24,50000000,115,365,,250,184.47,23456062.532786883,9047699.97
334,12,1755000,121,325,,204,184.47,7658937.101338432,9047699.97
335,3,20000000,138,506,,368,184.47,9246769.549865229,9047699.97
336,3,25000000,145,584,,439,184.47,9246769.549865229,9047699.97
337,21,10000000,145,492,,347,184.47,17091199.984,9047699.97
338,11,520000,164,191,,27,184.47,1820371.57,9047699.97
339,12,1000000,169,233,,64,184.47,7658937.101338432,9047699.97
340,21,1500000,226,241,,15,184.47,17091199.984,9047699.97
341,18,1432800,229,298,,69,184.47,8584355.493548388,9047699.97
342,1,1400000,239,354,,115,184.47,3325419.7044334975,9047699.97
343,15,10102000,254,695,,441,184.47,4522577.48037889,9047699.97
344,2,80000000,283,820,,537,184.47,2989003.2716499544,9047699.97
345,21,600000,323,409,,86,184.47,17091199.984,9047699.97
346,21,2000000,348,521,,173,184.47,17091199.984,9047699.97
347,11,590000,361,375,,14,184.47,1820371.57,9047699.97
348,2,24628758,368,534,,166,184.47,2989003.2716499544,9047699.97
349,2,20000000,383,766,,383,184.47,2989003.2716499544,9047699.97
350,24,50000000,439,929,,490,184.47,23456062.532786883,9047699.97
351,11,6000000,458,775,,317,202.94,1820371.57,7117555.88
352,11,1800000,472,610,,138,202.94,1820371.57,7117555.88
353,5,10000000,472,820,,348,202.94,1400922.5020242915,7117555.88
354,3,1000000,484,653,,169,202.94,9246769.549865229,7117555.88
355,15,12918000,505,912,,407,202.94,4522577.48037889,7117555.88
356,17,800000,509,606,,97,202.94,1614143.0049603174,7117555.88
357,17,1300000,522,579,,57,202.94,1614143.0049603174,7117555.88
358,18,3070000,912,1143,,231,140.14,8584355.493548388,7336579.66
359,18,37000000,528,883,,355,202.94,8584355.493548388,7117555.88
360,11,2100000,557,612,,55,202.94,1820371.57,7117555.88
361,24,35000000,586,1123,,537,202.94,23456062.532786883,7117555.88
362,11,1500000,627,920,,293,202.94,1820371.57,7117555.88
363,16,555000,641,690,,49,202.94,2465023.1840707962,7117555.88
364,24,58000000,660,1502,,842,202.94,23456062.532786883,7117555.88
365,24,58000000,660,1502,,842,202.94,23456062.532786883,7117555.88
366,23,1800000,667,939,,272,202.94,5772926.70157068,7117555.88
367,11,524900,669,687,,18,202.94,1820371.57,7117555.88
368,11,600000,674,708,,34,202.94,1820371.57,7117555.88
369,23,1200000,740,757,,17,202.94,5772926.70157068,7117555.88
370,21,3000000,759,1062,,303,202.94,17091199.984,7117555.88
371,11,700000,787,787,,0,202.94,1820371.57,7117555.88
372,1,537000,787,894,,107,202.94,3325419.7044334975,7117555.88
373,3,1500000,857,878,,21,140.14,9246769.549865229,7336579.66
374,21,900000,921,985,,64,140.14,17091199.984,7336579.66
