Age_Key,Age_Range
AG1011,45 to 49 years
AG1012,50 to 54 years
AG1013,55 to 59 years
AG1014,60 to 64 years
AG1015,65 to 69 years
AG1016,70 to 74 years
AG1017,75 to 79 years
AG1018,80 to 84 years
AG1019,85 to 89 years
AG1020,90 years and over
AG1021,Total - Age
AG1022,0 to 4 years
AG1023,5 to 9 years
AG1024,10 to 14 years
AG1025,15 to 19 years
AG1026,20 to 24 years
AG1027,25 to 29 years
AG1028,30 to 34 years
AG1029,35 to 39 years
AG1030,40 to 44 years
AG1031,45 to 49 years
AG1032,50 to 54 years
AG1033,55 to 59 years
AG1034,60 to 64 years
AG1035,65 to 69 years
AG1036,70 to 74 years
AG1037,75 to 79 years
AG1038,80 to 84 years
AG1039,85 to 89 years
AG1040,90 years and over
