Date_Key,Date,Year,Month,Day,Quarter,WeekOfYear,DayOfWeek,DayName,IsWeekend
258,2000-06-17,2000,6,17,2,24,5,Saturday,1
259,2000-06-18,2000,6,18,2,24,6,Sunday,1
260,2000-06-19,2000,6,19,2,25,0,Monday,0
261,2000-06-20,2000,6,20,2,25,1,Tuesday,0
262,2000-06-21,2000,6,21,2,25,2,Wednesday,0
263,2000-06-22,2000,6,22,2,25,3,Thursday,0
264,2000-06-23,2000,6,23,2,25,4,Friday,0
265,2000-06-24,2000,6,24,2,25,5,Saturday,1
266,2000-06-25,2000,6,25,2,25,6,Sunday,1
267,2000-06-26,2000,6,26,2,26,0,Monday,0
268,2000-06-27,2000,6,27,2,26,1,Tuesday,0
269,2000-06-28,2000,6,28,2,26,2,Wednesday,0
270,2000-06-29,2000,6,29,2,26,3,Thursday,0
271,2000-06-30,2000,6,30,2,26,4,Friday,0
272,2000-07-01,2000,7,1,3,26,5,Saturday,1
273,2000-07-02,2000,7,2,3,26,6,Sunday,1
274,2000-07-03,2000,7,3,3,27,0,Monday,0
275,2000-07-04,2000,7,4,3,27,1,Tuesday,0
276,2000-07-05,2000,7,5,3,27,2,Wednesday,0
277,2000-07-06,2000,7,6,3,27,3,Thursday,0
278,2000-07-07,2000,7,7,3,27,4,Friday,0
279,2000-07-08,2000,7,8,3,27,5,Saturday,1
280,2000-07-09,2000,7,9,3,27,6,Sunday,1
281,2000-07-10,2000,7,10,3,28,0,Monday,0
282,2000-07-11,2000,7,11,3,28,1,Tuesday,0
283,2000-07-12,2000,7,12,3,28,2,Wednesday,0
284,2000-07-13,2000,7,13,3,28,3,Thursday,0
285,2000-07-14,2000,7,14,3,28,4,Friday,0
286,2000-07-15,2000,7,15,3,28,5,Saturday,1
287,2000-07-16,2000,7,16,3,28,6,Sunday,1
288,2000-07-17,2000,7,17,3,29,0,Monday,0
289,2000-07-18,2000,7,18,3,29,1,Tuesday,0
290,2000-07-19,2000,7,19,3,29,2,Wednesday,0
291,2000-07-20,2000,7,20,3,29,3,Thursday,0
292,2000-07-21,2000,7,21,3,29,4,Friday,0
293,2000-07-22,2000,7,22,3,29,5,Saturday,1
294,2000-07-23,2000,7,23,3,29,6,Sunday,1
295,2000-07-24,2000,7,24,3,30,0,Monday,0
296,2000-07-25,2000,7,25,3,30,1,Tuesday,0
297,2000-07-26,2000,7,26,3,30,2,Wednesday,0
298,2000-07-27,2000,7,27,3,30,3,Thursday,0
299,2000-07-28,2000,7,28,3,30,4,Friday,0
300,2000-07-29,2000,7,29,3,30,5,Saturday,1
301,2000-07-30,2000,7,30,3,30,6,Sunday,1
302,2000-07-31,2000,7,31,3,31,0,Monday,0
303,2000-08-01,2000,8,1,3,31,1,Tuesday,0
304,2000-08-02,2000,8,2,3,31,2,Wednesday,0
305,2000-08-03,2000,8,3,3,31,3,Thursday,0
306,2000-08-04,2000,8,4,3,31,4,Friday,0
307,2000-08-05,2000,8,5,3,31,5,Saturday,1
308,2000-08-06,2000,8,6,3,31,6,Sunday,1
309,2000-08-07,2000,8,7,3,32,0,Monday,0
310,2000-08-08,2000,8,8,3,32,1,Tuesday,0
311,2000-08-09,2000,8,9,3,32,2,Wednesday,0
312,2000-08-10,2000,8,10,3,32,3,Thursday,0
313,2000-08-11,2000,8,11,3,32,4,Friday,0
314,2000-08-12,2000,8,12,3,32,5,Saturday,1
315,2000-08-13,2000,8,13,3,32,6,Sunday,1
316,2000-08-14,2000,8,14,3,33,0,Monday,0
317,2000-08-15,2000,8,15,3,33,1,Tuesday,0
318,2000-08-16,2000,8,16,3,33,2,Wednesday,0
319,2000-08-17,2000,8,17,3,33,3,Thursday,0
320,2000-08-18,2000,8,18,3,33,4,Friday,0
321,2000-08-19,2000,8,19,3,33,5,Saturday,1
322,2000-08-20,2000,8,20,3,33,6,Sunday,1
323,2000-08-21,2000,8,21,3,34,0,Monday,0
324,2000-08-22,2000,8,22,3,34,1,Tuesday,0
325,2000-08-23,2000,8,23,3,34,2,Wednesday,0
326,2000-08-24,2000,8,24,3,34,3,Thursday,0
327,2000-08-25,2000,8,25,3,34,4,Friday,0
328,2000-08-26,2000,8,26,3,34,5,Saturday,1
329,2000-08-27,2000,8,27,3,34,6,Sunday,1
330,2000-08-28,2000,8,28,3,35,0,Monday,0
331,2000-08-29,2000,8,29,3,35,1,Tuesday,0
332,2000-08-30,2000,8,30,3,35,2,Wednesday,0
333,2000-08-31,2000,8,31,3,35,3,Thursday,0
334,2000-09-01,2000,9,1,3,35,4,Friday,0
335,2000-09-02,2000,9,2,3,35,5,Saturday,1
336,2000-09-03,2000,9,3,3,35,6,Sunday,1
337,2000-09-04,2000,9,4,3,36,0,Monday,0
338,2000-09-05,2000,9,5,3,36,1,Tuesday,0
339,2000-09-06,2000,9,6,3,36,2,Wednesday,0
340,2000-09-07,2000,9,7,3,36,3,Thursday,0
341,2000-09-08,2000,9,8,3,36,4,Friday,0
342,2000-09-09,2000,9,9,3,36,5,Saturday,1
