Permit_Num,Permit_Type,Structure_Type,Work,Street_Num,Street_Name,Street_Type,Street_Direction,Postal,Geo_Id,Ward_Grid,Application_Date,Issued_Date,Completed_Date,Status,Description,Est_Const_Cost
22 103471 BLD,Building Additions/Alterations,Recreational,Interior Alterations,141,WILSON,AVE, ,M5M,576040,N0824,2022-01-13,2022-01-27,,Permit Issued,Proposal for interior alterations in the existing sport club.,150000
22 106329 BLD,Building Additions/Alterations,Fitness Centre,Interior Alterations,460,RICHMOND,ST,W,M5V,10223754,S1029,2022-01-21,2022-02-07,,Permit Issued,Proposal for interior alterations to an existing fitness studio (no building permit history on IBMS) tenant - 'Arzadon Fitness' in Suite 100 (basement level) to add a new change room / locker room and showers. [Use / GFA not reviewed],150000
22 118496 BLD,Building Additions/Alterations,Recreational,Interior Alterations,120,DUNDAS,ST,W,M5G,7792423,S1145,2022-03-01,2022-04-26,,Inspection,Interior Alteration for Places of amusement (Board games),100000
22 120405 BLD,Building Additions/Alterations,"Hair, Barber and Other Salon",Interior Alterations,1198,WESTON,RD, ,M6M,10010507,W0531,2022-03-07,2022-04-29,,Inspection,Proposal for interior alterations for a new nail salon.,25000
22 121708 BLD,Building Additions/Alterations,Performing Arts Centre,Interior Alterations,5040,YONGE,ST, ,M2N,14072465,N1824,2022-03-10,2022-06-21,,Inspection,ACCESSIBILITY UPGRADES TO EXISTING RECITAL AND STUDIO THEATRES.,1300000
22 122928 BLD,Building Additions/Alterations,Fitness Centre,Interior Alterations,486,EVANS,AVE, ,M8W,7336707,W0331,2022-03-15,2022-06-21,,Inspection,Proposal to change the use of the space from office/warehouse to fitness centre and undergo interior alterations. ,80000
22 123270 BLD,Building Additions/Alterations,Club,Interior Alterations,200,HUMBER BAY PARK,RD,W,M8V,11272404,W0337,2022-03-16,2022-04-12,,Permit Issued,Proposal to install a mobility lift in the existing social club.,45000
22 162319 BLD,Building Additions/Alterations,Gymnasium,Interior Alterations,4497,CHESSWOOD,DR, ,M3J,9171775,N0623,2022-06-15,2022-07-22,,Inspection,Proposal to construct interior alterations for an tenant fitout for a gym. ,200000
22 167290 BLD,Building Additions/Alterations,Stadium,Interior Alterations,1,BLUE JAYS,WAY, ,M5V,5866193,S1036,2022-06-24,2022-07-12,,Inspection,Proposal for updates to existing foundations of Toronto Blue Jays stadium. ( Phase One of a future project) ,100000000
22 188568 BLD,Building Additions/Alterations,Fitness Centre,Interior Alterations,55,BLOOR,ST,W,M4W,8408497,S1136,2022-08-10,2022-10-26,,Inspection,Demo of adjacent spaces to open up entrance way to GoodLife (Max Occ Load 150 Persons). Will need to re-work HVAC and remove some plumbing in the walls and floors. Unit 210 ,900000
22 189961 BLD,Building Additions/Alterations,Fitness Centre,Interior Alterations,4528,KINGSTON,RD, ,M1E,352322,E2533,2022-08-12,2022-10-26,,Permit Issued,Interior alterations  for a fitness centre,80000
22 190642 BLD,Building Additions/Alterations,"Hair, Barber and Other Salon",Interior Alterations,5219,YONGE,ST, ,M2N,14627049,N1826,2022-08-15,2022-12-23,,Inspection,"Proposal for interior alterations for a Hair Salon, unit 6.",80000
22 191797 BLD,Building Additions/Alterations,Performing Arts Centre,Interior Alterations,5040,YONGE,ST, ,M2N,14072465,N1824,2022-08-17,2022-09-14,,Inspection,"Reconfiguration of Back of House spaces to create accessible washrooms, dressing room and administration offices.",750000
22 198612 BLD,Building Additions/Alterations,Stadium,Interior Alterations,1,BLUE JAYS,WAY, ,M5V,5866193,S1036,2022-09-01,2022-11-15,,Inspection,"Phase 1 -  ROGERS CENTRE LOWER BOWL REPLACEMENT PROJECT, INCLUDING RENOVATION OF EXISTING L000, L100, L200, AND L500 PROGRAMS, REPLACEMENT OF LOWER SEATING BOWL, AND ADDITION OF NEW L000 CLUBHOUSE AND PREMIUM CLUB AMENITIES.",100000000
22 212175 BLD,Building Additions/Alterations,Stadium,Interior Alterations,2,STRACHAN,AVE, ,M6K,874651,S1027,2022-10-03,2022-10-18,,Permit Issued,"Proposal for interior alterations to convert existing office space to open fitness area - BMO Field, 170 Princes' Blvd.",50000
22 213859 BLD,Building Additions/Alterations,Club,Interior Alterations,116,CLYDESDALE,DR, ,###,14069271,N1728,2022-10-06,2022-11-07,,Inspection,"nterior renovation and building envelope repairs to an existing tennis clubhouse, renovation to the existing washrooms and showers. New millworking and finishes.  ",1000000
22 236588 BLD,Building Additions/Alterations,Museum,Interior Alterations,30,YONGE,ST, ,M5E,8676865,S1337,2022-12-06,2023-01-03,,Inspection,"Proposal for interior alterations to the concourse level in existing museum - ""Hockey Hall of Fame""",500000
22 238064 BLD,Building Additions/Alterations,Club,Interior Alterations,2350,BAYVIEW,AVE, ,M2L,487614,N1523,2022-12-09,2023-02-13,,Permit Issued,Interior alterations to lounge area at 3rd floor.,100000
22 241273 BLD,Building Additions/Alterations,Performing Arts Centre,Interior Alterations,1,FRONT,ST,E,M5E,11070359,S1339,2022-12-20,2023-01-30,,Permit Issued,RENOVATION OF EXISTING WASHROOMS and NEW UNIVERSAL WASHROOMS,800000
23 104662 BLD,Building Additions/Alterations,Fitness Centre,Interior Alterations,577,WELLINGTON,ST,W,M5V,14038900,S1028,2023-01-17,2023-02-06,,Inspection,Interior alteration to a yoga and wellness centre.,348000
23 113444 BLD,Building Additions/Alterations,"Hair, Barber and Other Salon",Interior Alterations,1345,MORNINGSIDE,AVE, ,M1B,,E2525,2023-02-13,2023-09-25,,Inspection,PROPOSED: EXISTING VACANT UNIT TO BE CONVERTED INTO A HAIR SALON - UNIT 20,60000
23 114432 BLD,Building Additions/Alterations,"Hair, Barber and Other Salon",Interior Alterations,1963,AVENUE,RD, ,M5M,485025,N0824,2023-02-15,2023-03-17,,Inspection,Proposal for interior alterations for new personal service shop (Wax on Waxbar).,320000
23 118881 BLD,Building Additions/Alterations,Fitness Centre,Interior Alterations,2359,DANFORTH,AVE, ,M4C,8140583,S1932,2023-03-01,2023-04-12,,Inspection,"Interior alteration to create a fitness studio in an existing vacant tenant suite. Work includes new partitions, ceilings, washrooms, showers and support spaces - F45 Upper Beaches",120000
23 118903 BLD,Building Additions/Alterations,"Hair, Barber and Other Salon",Interior Alterations,4750,YONGE,ST, ,M2N,9066025,N1827,2023-03-01,2023-03-29,,Permit Issued,Proposal for new beauty laser salon in the existing vacant space. ,10000
23 120222 BLD,Building Additions/Alterations,Club,Interior Alterations,2350,BAYVIEW,AVE, ,M2L,487614,N1523,2023-03-06,2023-05-25,,Permit Issued,"INTERIOR ALTERATIONS TO KIDZONE - NEW PLAY ROOM, STORAGE AND REPLACEMENT OF ACT CEILINGS IN SEVERAL KIDZONE AREAS",150000
23 127770 BLD,Building Additions/Alterations,Performing Arts Centre,Interior Alterations,5040,YONGE,ST, ,M2N,14072465,N1824,2023-03-28,2023-04-27,,Inspection,"Proposal for interior alterations to reconfiguration Back of House spaces to create accessible washrooms, dressing room and locker room facilities - Package 6, ""Meridian Arts Centre""",1500000
