Neighbourhoods,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total,Year
Willowdale East/Newtonbrook East,,"1,465","1,861","2,223","1,691",2018
Willowdale West/Newtonbrook West,,"1,292","1,492","1,696","1,419",2018
Willowridge-Martingrove-Richview,,"1,158","1,558","1,782","1,521",2018
Woburn,916,"1,098","1,231","1,336","1,201",2018
Woodbine Corridor/Greenwood-Coxwell,810,"1,201",,,"1,116",2018
Woodbine-Lumsden,,"1,116",,,"1,239",2018
Wychwood,,"1,196",,,,2018
Yonge-Eglinton,"1,088","1,394","1,795",,"1,429",2018
Yonge-St. Clair,"1,180","1,412","1,966",,"1,626",2018
Yorkdale-Glen Park,,"1,100","1,276","1,518","1,215",2018
Toronto,"1,081","1,261","1,468","1,647","1,370",2018
Agincourt/Malvern,,"1,234","1,397","1,414","1,352",2019
Ajax/Pickering,,982,"1,237","1,489","1,318",2019
Alderwood,,"1,193","1,357",,"1,320",2019
Aurora,,"1,171","1,371",,"1,338",2019
Banbury-Don Mills/York Mills,836,"1,266","1,432","1,763","1,382",2019
Bathurst Manor,888,"1,329","1,427","1,599","1,427",2019
Bay Street Corridor,"1,751","2,197","3,047","3,571","2,382",2019
Bayview Village,,"1,504","1,793",,"1,831",2019
Bayview Woods-Steeles/Hillcrest Village,,,,,,2019
Bedford Park-Nortown,"1,000","1,188","1,511","2,039","1,354",2019
Beechborough-Greenbrook,882,"1,025","1,243",,"1,124",2019
Bendale,"1,076","1,341","1,419","1,576","1,445",2019
Birchcliffe-Cliffside,954,"1,307","1,517",,"1,398",2019
Black Creek,"1,089","1,156","1,355","1,596","1,348",2019
Bradford/West Gwillimbury/New Tecumseth,"1,087","1,111","1,268","1,533","1,235",2019
Brampton (East),,"1,437","1,540","1,585","1,518",2019
Brampton (West),902,"1,186","1,367","1,581","1,315",2019
Briar Hill-Belgravia,899,"1,310","1,498","1,878","1,406",2019
Broadview North,"1,049","1,254","1,473",,"1,295",2019
Bronte,,"1,495","1,729",,"1,644",2019
Brookhaven-Amesbury,889,"1,178","1,448","2,060","1,406",2019
Cabbagetown-South St. James Town,"1,045","1,486","1,998",,"1,530",2019
Caledon,,,,,,2019
Caledonia-Fairbank,895,"1,096","1,375",,"1,217",2019
Casa Loma,"1,259","1,588","2,215","3,598","1,966",2019
Churchill Meadows/Erin Mills,,"1,436","1,538","1,843","1,604",2019
Church-Yonge Corridor,"1,313","1,692","2,118",,"1,672",2019
Clairlea-Birchmount,"1,017","1,125","1,324",,"1,174",2019
Clanton Park,980,"1,173","1,370",,"1,246",2019
Clarkson/Lorne Park,"1,035","1,279","1,404","1,483","1,366",2019
Cliffcrest,,"1,179","1,282","1,514","1,262",2019
Cooksville,987,"1,237","1,421","1,484","1,335",2019
Crescent Town,951,"1,149","1,371","1,620","1,236",2019
Danforth Village-East York,792,"1,136","1,277",,"1,176",2019
Don Valley Village/Pleasant View,992,"1,417","1,545","1,644","1,532",2019
Dorset Park,,"1,266","1,506",,"1,430",2019
Dovercourt/Davenport/Junction,973,"1,161","1,466",,"1,325",2019
Downsview,944,"1,143","1,346","1,511","1,281",2019
Dufferin Grove/Little Portugal,"1,030","1,423",,,"1,353",2019
East End-Danforth,"1,008","1,325","1,542",,"1,371",2019
East Gwillimbury/Newmarket,798,"1,343","1,403",,"1,355",2019
Edenbridge-Humber Valley,,"1,323","1,489",,"1,445",2019
Eglinton East,"1,283","1,216","1,370","1,480","1,349",2019
Elms-Old Rexdale,,,"1,466","1,760","1,548",2019
Englemount-Lawrence,909,"1,130","1,320","1,611","1,269",2019
Eringate-Centennial-West Deane,,,"1,260",,"1,283",2019
Etobicoke West Mall,,"1,415","1,664","1,889","1,653",2019
Flemingdon Park,,"1,189","1,326","1,589","1,297",2019
Forest Hill North,"1,119","1,354","1,714","2,058","1,546",2019
Forest Hill South,"1,280","1,508","1,888",,"1,619",2019
Georgina,,865,"1,164","1,369","1,181",2019
Guildwood,,"1,285","1,434","1,739","1,417",2019
Henry Farm,,"1,454","1,737","1,837","1,666",2019
High Park North/Junction,"1,215","1,550","2,005","2,942","1,678",2019
High Park-Swansea,,"1,254","1,860",,"1,313",2019
Humber Heights-Westmount,,,"1,569",,"1,522",2019
