Street_Num,Street_Name,Street_Type,Street_Direction
74,HARVARD,AVE, 
3401,DUFFERIN,ST, 
493,PARLIAMENT,ST, 
643,EGLINTON,AVE,W
21-Jul,RICHGROVE,DR, 
255,DUNDAS,ST,E
835,ROYAL YORK,RD, 
8,POWELL,AVE, 
92,FELBRIGG,AVE, 
150,KING,ST,W
94,CUMBERLAND,ST, 
189,MCINTOSH,ST, 
234,ATTWELL,DR, 
291,REXDALE,BLVD, 
21,GLEN GANNON,DR, 
567,COLLEGE,ST, 
90,DANFORTH,AVE, 
66,WELLESLEY,ST,E
45,HUNTINGDALE,BLVD, 
491,EGLINTON,AVE,W
5165,YONGE,ST, 
781,CRAVEN,RD, 
85,RICHMOND,ST,W
140,PEARSON,AVE, 
123,MCGILLIVRAY,AVE, 
70,DUNELM,ST, 
120,ADELAIDE,ST,W
141,ADELAIDE,ST,W
21,MONTROSE,AVE, 
1,DUNDAS,ST,W
68,SIMPSON,AVE, 
60,CHESTNUT,PK, 
4759-4789,YONGE,ST, 
164,AVENUE,RD, 
3401,DUFFERIN,ST, 
9,PALMERSTON,AVE, 
3401,DUFFERIN,ST, 
50,CELESTINE,DR, 
3401,DUFFERIN,ST, 
10,THE QUEENSWAY, , 
1769,AVENUE,RD, 
9,PALMERSTON,AVE, 
3362,YONGE,ST, 
27,BELLAIR,ST, 
127,BEACONSFIELD,AVE, 
375,QUEEN,ST,W
121,MCMAHON,DR, 
105,GEORGE,ST, 
146,WAVERLEY,RD, 
2481,YONGE,ST, 
2050,BRIDLETOWNE,CRCL, 
9,PALMERSTON,AVE, 
97,HART,AVE, 
500,REXDALE,BLVD, 
2076,YONGE,ST, 
370-374,ROYAL YORK,RD, 
4,QUEENSBURY,AVE, 
82,REDWOOD,AVE, 
34,MANCHESTER,AVE, 
186,GRACE,ST, 
41,KILBARRY,RD, 
201,FERRIS,RD, 
270,THE KINGSWAY, , 
3401,DUFFERIN,ST, 
321,HIDDEN,TRL, 
165,ANDONA,CRES, 
1200,BAY,ST, 
765,YONGE,ST, 
25,LEONARD,AVE, 
25,LEONARD,AVE, 
2555,ST CLAIR,AVE,W
1,FAIRCREST,CRCL, 
221 B,GLEN PARK,AVE, 
100,QUEEN,ST,W
651,WARDEN,AVE, 
720,BATHURST,ST, 
5,CARONPORT,CRES, 
228,HARVIE,AVE, 
55,ST CLAIR,AVE,W
25,PINE RIDGE,DR, 
458,OAKWOOD,AVE, 
151,WIMBLETON,RD, 
2980,DON MILLS,RD,W
62,WENDOVER,RD, 
