Permit_Num,Permit_Type,Structure_Type,Work,Street_Num,Street_Name,Street_Type,Street_Direction,Postal,Geo_Id,Ward_Grid,Application_Date,Issued_Date,Completed_Date,Status,Description,Est_Const_Cost
07 289133 BLD,New Building,Mixed Use/Res w Non Res,New Building,403,KEELE,ST, ,M6P,9109382,S0429,2007-12-24,2010-01-07,,Inspection,New 24 storey mixed use residential and commercial building .  Commercial located in phase 1 portion of development. (345 dweling units)BIN 2188,50000000
07 289204 BLD,New Building,Mixed Use/Res w Non Res,New Building,588,ANNETTE,ST, ,M6S,7985594,S0422,2007-12-24,2012-10-01,,Inspection,Construct new 5 storey mixed use building and 19 dwelling spaces,2935000
07 289565 BLD,New Building,Apartment Building,New Building,105,THE QUEENSWAY, , ,M8Y,20033993,S0430,2007-12-28,2012-07-05,,Inspection,Construct a new (35) storey condominium with (4) underground parking levels (Phase 2).,50000000
07 289596 BLD,New Building,Apartment Building,New Building,399,ADELAIDE,ST,W,M5V,7930158,S1032,2007-12-28,2012-01-23,,Inspection,Proposal to construct 10-storey residential building with 4 levels of underground parking.  ,40000000
07 289612 BLD,New Building,Apartment Building,New Building,3865,LAKE SHORE,BLVD,W,M8W,9941959,W0334,2007-12-28,2010-05-04,,Inspection,"Construct 16 storey, 3 level u/g parking, 185 unit mixed use building with some commercial at grade",26000000
07 289637 BLD,New Houses,SFD - Detached,New Building,22,YORK VALLEY,CRES, ,M2P,10133172,N1523,2007-12-31,2008-03-13,,Inspection,Two storey dwelling,786155
08 110942 BLD,New Building,Mixed Use/Res w Non Res,New Building,799,COLLEGE,ST, ,M6G,785505,S1141,2008-02-12,2010-05-05,,Inspection,"To demolish the existing buildings and to construct a six-storey, 21-unit residential building with a rear second floor terrace and retail at-grade.  There will be parking on the ground level with dual parking stackers located at the rear of the building. 4 dwelling units within the existing building would be demolished",4300000
08 115616 BLD,New Houses,SFD - Detached,New Building,155,GLENCAIRN,AVE, ,M4R,812034,N0829,2008-02-29,2008-03-17,,Inspection,2.5 - storey dwelling,1500000
08 116840 BLD,New Houses,SFD - Detached,New Building,49,ABILENE,DR, ,M9A,981642,W0228,2008-03-05,2008-05-13,,Inspection,Construct new 2 storey dwelling using existing foundation and some walls of existing dwelling,550000
08 117074 BLD,New Houses,SFD - Detached,New Building,23,TREGELLIS,RD, ,M3H,569992,N0630,2008-03-06,2008-03-28,,Inspection,3-storey dwelling,600000
