Employment,Ward_ID,Population,Year
"Natural resources, agriculture and related production occupations",Ward 12,330,2021
Occupations in manufacturing and utilities,Ward 12,925,2021
All occupations,Ward 13,72305,2021
Management occupations,Ward 13,1210,2021
"Business, finance and administration occupations",Ward 13,17760,2021
Natural and applied sciences and related occupations,Ward 13,10580,2021
Health occupations,Ward 13,4900,2021
"Occupations in education, law and social, community and government services",Ward 13,9985,2021
"Occupations in art, culture, recreation and sport",Ward 13,5900,2021
Sales and service occupations,Ward 13,16485,2021
"Trades, transport and equipment operators and related occupations",Ward 13,4480,2021
"Natural resources, agriculture and related production occupations",Ward 13,220,2021
Occupations in manufacturing and utilities,Ward 13,775,2021
All occupations,Ward 14,58310,2021
Management occupations,Ward 14,1450,2021
"Business, finance and administration occupations",Ward 14,13085,2021
Natural and applied sciences and related occupations,Ward 14,5660,2021
Health occupations,Ward 14,3470,2021
"Occupations in education, law and social, community and government services",Ward 14,9635,2021
"Occupations in art, culture, recreation and sport",Ward 14,6245,2021
Sales and service occupations,Ward 14,12445,2021
"Trades, transport and equipment operators and related occupations",Ward 14,5000,2021
"Natural resources, agriculture and related production occupations",Ward 14,295,2021
Occupations in manufacturing and utilities,Ward 14,1030,2021
All occupations,Ward 15,50750,2021
Management occupations,Ward 15,2125,2021
"Business, finance and administration occupations",Ward 15,12990,2021
Natural and applied sciences and related occupations,Ward 15,5400,2021
Health occupations,Ward 15,4615,2021
"Occupations in education, law and social, community and government services",Ward 15,7235,2021
"Occupations in art, culture, recreation and sport",Ward 15,2740,2021
Sales and service occupations,Ward 15,10485,2021
"Trades, transport and equipment operators and related occupations",Ward 15,3930,2021
"Natural resources, agriculture and related production occupations",Ward 15,285,2021
Occupations in manufacturing and utilities,Ward 15,935,2021
All occupations,Ward 16,45655,2021
Management occupations,Ward 16,590,2021
"Business, finance and administration occupations",Ward 16,9805,2021
Natural and applied sciences and related occupations,Ward 16,5315,2021
Health occupations,Ward 16,3320,2021
"Occupations in education, law and social, community and government services",Ward 16,4870,2021
"Occupations in art, culture, recreation and sport",Ward 16,1695,2021
Sales and service occupations,Ward 16,12120,2021
"Trades, transport and equipment operators and related occupations",Ward 16,6200,2021
"Natural resources, agriculture and related production occupations",Ward 16,290,2021
Occupations in manufacturing and utilities,Ward 16,1460,2021
All occupations,Ward 17,57460,2021
Management occupations,Ward 17,585,2021
"Business, finance and administration occupations",Ward 17,12755,2021
Natural and applied sciences and related occupations,Ward 17,10270,2021
Health occupations,Ward 17,4265,2021
"Occupations in education, law and social, community and government services",Ward 17,6380,2021
"Occupations in art, culture, recreation and sport",Ward 17,2180,2021
Sales and service occupations,Ward 17,13305,2021
"Trades, transport and equipment operators and related occupations",Ward 17,5690,2021
"Natural resources, agriculture and related production occupations",Ward 17,230,2021
Occupations in manufacturing and utilities,Ward 17,1810,2021
All occupations,Ward 18,62395,2021
Management occupations,Ward 18,935,2021
"Business, finance and administration occupations",Ward 18,15050,2021
Natural and applied sciences and related occupations,Ward 18,10820,2021
Health occupations,Ward 18,4860,2021
