Permit_Num,Permit_Type,Structure_Type,Work,Street_Num,Street_Name,Street_Type,Street_Direction,Postal,Geo_Id,Ward_Grid,Application_Date,Issued_Date,Completed_Date,Status,Description,Est_Const_Cost,Address,Coordinates,Ward_Index,Ward
04 127300 BLD,Residential Building Permit,Apartment Building,New Building,1379,BLOOR,ST,W,M6P,11981439.0,S0933,2004-04-22,2005-06-21,,Inspection,Construct new Condominium building with 238 units (live-work) & one level of below grade parking; refer to site plan approval #03-130702 PSP.,24000000,"1379,BLOOR,ST W M6P",POINT (-79.446167 43.657417),20.0,Davenport
04 128958 BLD,Non-Residential Building Permit,Parking Garage,New Building,1100,LANSDOWNE,AVE, ,M6H,14190404.0,S0926,2004-04-28,2005-02-23,,Inspection,New 1 level underground parking garage for new townhouse development to service Blocks A - E,2000000,"1100,LANSDOWNE,AVE   M6H",POINT (-79.448468 43.670721),20.0,Davenport
04 137678 BLD,New Houses,SFD - Detached,New Building,28,YORK VALLEY,CRES, ,M2P,10133177.0,N1523,2004-05-20,2004-07-13,,Inspection,New house,600000,"28,YORK VALLEY,CRES   M2P",POINT (-79.390415 43.741235),11.0,Don Valley West
04 143432 BLD,New Building,Apartment Building,New Building,2113,LAKE SHORE,BLVD,W,###,7571212.0,W0337,2004-06-03,2005-12-23,,Inspection,New Apartment Building - Condominium 14 storeys Superstructure (270 units).Note; Address of 2113 Lake Shore Blvd W is used for this application,15000000,"2113,LAKE SHORE,BLVD W ###",POINT (-79.511418 43.599432),15.0,Etobicoke-Lakeshore
04 143444 BLD,New Building,Apartment Building,New Building,9,BURNHAMTHORPE,CRES, ,M9A,14639707.0,W0321,2004-06-04,2005-08-03,,Inspection,New eight-storey residential condominium building (108 units) with two levels of below grade parking,25000000,"9,BURNHAMTHORPE,CRES   M9A",POINT (-79.528463 43.65023),15.0,Etobicoke-Lakeshore
04 143625 BLD,New Building,Apartment Building,New Building,25,FINCH,AVE,W,M2N,9038345.0,N1824,2004-06-04,2005-12-22,,Inspection,To construct new 21 storey apartment building.Oct 20/05 - RSC - Not Required - Previous use was residential - lj,64000000,"25,FINCH,AVE W M2N",POINT (-79.41787 43.779168),2.0,Willowdale
04 144167 BLD,New Building,Apartment Building,New Building,50,LYNN WILLIAMS,ST, ,###,14639582.0,S1027,2004-06-07,2005-09-08,,Inspection,Build apartment building consisting of 320 dwelling units with 3 levels of underground parking.Existing Use:  Vacant LandProposed Use:  Apartment Bldg. (320 dwelling units),12000000,"50,LYNN WILLIAMS,ST   ###",POINT (-79.415183 43.639639),24.0,Spadina-Fort York
04 144740 BLD,New Building,Apartment Building,New Building,1555,JANE,ST, ,M9N,20030283.0,W0528,2004-06-08,2005-05-03,,Inspection,Construct a new 9-storey apartment building with 2 levels of underground parking.  Existing:  Vacant Lot.  Proposed:  Apartment Building.,20000000,"1555,JANE,ST   M9N",POINT (-79.501449 43.699182),22.0,York South-Weston
04 153676 BLD,New Houses,SFD - Detached,New Building,96,HIGHLAND,CRES, ,M2L,2360332.0,N1523,2004-07-06,2004-08-30,,Inspection,Construct a new two storey single family dwelling,520000,"96,HIGHLAND,CRES   M2L",POINT (-79.389617 43.744112),11.0,Don Valley West
04 154166 BLD,New Building,Apartment Building,New Building,53,CUMMER,AVE, ,M2M,7323935.0,N1823,2004-07-07,2005-02-14,,Inspection,New 4 storey 53 unit residential building,9000000,"53,CUMMER,AVE   M2M",POINT (-79.414971 43.787153),2.0,Willowdale
